filename	version	filesize
3_2_1313_1510.m4a	1	11237
3_2_1313_2072.m4a	11	8446
3_2_1313_2073.m4a	5	12286
3_2_1313_2075.m4a	14	36639
3_2_1314_1510.m4a	0	32575
3_2_1314_2072.m4a	5	7678
3_2_1314_2073.m4a	7	12286
3_2_1314_2075.m4a	2	37576
3_2_1315_1510.m4a	0	33511
3_2_1315_2072.m4a	7	9214
3_2_1315_2073.m4a	1	12286
3_2_1315_2075.m4a	3	37255
3_2_1316_1510.m4a	0	32596
3_2_1316_2072.m4a	5	8446
3_2_1316_2073.m4a	3	12286
3_2_1316_2075.m4a	1	36948
3_2_1317_1510.m4a	0	33111
3_2_1317_2072.m4a	4	8446
3_2_1317_2073.m4a	1	11518
3_2_1317_2075.m4a	2	39338
3_2_1318_1510.m4a	0	32609
3_2_1318_2072.m4a	2	9214
3_2_1318_2073.m4a	5	12286
3_2_1318_2075.m4a	3	39089
3_2_1319_1510.m4a	0	32642
3_2_1319_2072.m4a	4	8446
3_2_1319_2073.m4a	3	10750
3_2_1319_2075.m4a	2	38651
3_2_1320_1510.m4a	0	32599
3_2_1320_2072.m4a	3	7678
3_2_1320_2073.m4a	1	12286
3_2_1320_2075.m4a	0	37129
3_2_1321_1510.m4a	0	33616
3_2_1321_2072.m4a	3	9214
3_2_1321_2073.m4a	3	13054
3_2_1321_2075.m4a	0	37741
3_2_1322_1510.m4a	0	32401
3_2_1322_2072.m4a	3	8446
3_2_1322_2073.m4a	1	13822
3_2_1322_2075.m4a	3	37638
3_2_1323_1510.m4a	2	40043
3_2_1323_2072.m4a	4	8446
3_2_1323_2073.m4a	1	12286
3_2_1323_2075.m4a	0	37242
3_2_1324_1510.m4a	0	32096
3_2_1324_2072.m4a	3	9214
3_2_1324_2073.m4a	1	13822
3_2_1324_2075.m4a	0	37989
3_2_1325_1510.m4a	0	31580
3_2_1325_2072.m4a	3	9214
3_2_1325_2073.m4a	1	13054
3_2_1325_2075.m4a	1	37789
3_2_1326_1510.m4a	0	34482
3_2_1326_2072.m4a	2	10750
3_2_1326_2073.m4a	1	14590
3_2_1326_2075.m4a	2	38586
3_2_1327_1510.m4a	0	34512
3_2_1327_2072.m4a	2	10750
3_2_1327_2073.m4a	1	14590
3_2_1327_2075.m4a	0	38482
3_2_1328_1510.m4a	0	33793
3_2_1328_2072.m4a	3	9982
3_2_1328_2073.m4a	1	12286
3_2_1328_2075.m4a	2	38481
3_2_1329_1510.m4a	0	33330
3_2_1329_2072.m4a	2	9214
3_2_1329_2073.m4a	1	14590
3_2_1329_2075.m4a	1	35943
3_2_1330_1510.m4a	0	31792
3_2_1330_2072.m4a	5	9214
3_2_1330_2073.m4a	3	11518
3_2_1330_2075.m4a	0	35925
3_2_1331_1510.m4a	0	31000
3_2_1331_2072.m4a	3	7678
3_2_1331_2073.m4a	1	9982
3_2_1331_2075.m4a	0	35474
3_2_1332_1510.m4a	0	30781
3_2_1332_2072.m4a	1	6910
3_2_1332_2073.m4a	9	9982
3_2_1332_2075.m4a	0	35444
3_2_1333_1510.m4a	0	29864
3_2_1333_2072.m4a	4	8446
3_2_1333_2073.m4a	1	8446
3_2_1333_2075.m4a	0	38822
3_2_1334_1510.m4a	0	30494
3_2_1334_2072.m4a	7	8446
3_2_1334_2073.m4a	3	12286
3_2_1334_2075.m4a	0	35422
3_2_1335_1510.m4a	0	31194
3_2_1335_2072.m4a	4	8446
3_2_1335_2073.m4a	9	11518
3_2_1335_2075.m4a	0	37858
3_2_1336_1510.m4a	0	30919
3_2_1336_2072.m4a	7	9214
3_2_1336_2073.m4a	3	12286
3_2_1336_2075.m4a	0	37042
3_2_1337_1510.m4a	0	30906
3_2_1337_2072.m4a	2	8446
3_2_1337_2073.m4a	1	11518
3_2_1337_2075.m4a	0	37108
3_2_1338_1510.m4a	0	31686
3_2_1338_2072.m4a	4	8446
3_2_1338_2073.m4a	3	13054
3_2_1338_2075.m4a	0	36932
3_2_1339_1510.m4a	0	31939
3_2_1339_2072.m4a	3	9214
3_2_1339_2073.m4a	1	11518
3_2_1339_2075.m4a	0	36281
3_2_1340_1510.m4a	1	31627
3_2_1340_2072.m4a	4	7678
3_2_1340_2073.m4a	5	10750
3_2_1340_2075.m4a	1	34975
3_2_1341_1510.m4a	0	30968
3_2_1341_2072.m4a	5	7678
3_2_1341_2073.m4a	9	11518
3_2_1341_2075.m4a	0	37984
3_2_1342_1510.m4a	0	31468
3_2_1342_2072.m4a	4	7678
3_2_1342_2073.m4a	1	12286
3_2_1342_2075.m4a	0	35213
3_2_1343_1510.m4a	0	30154
3_2_1343_2072.m4a	2	7678
3_2_1343_2073.m4a	1	12286
3_2_1343_2075.m4a	0	38837
3_2_1344_1510.m4a	0	31350
3_2_1344_2072.m4a	4	7678
3_2_1344_2073.m4a	1	11518
3_2_1344_2075.m4a	0	38523
3_2_1345_1510.m4a	0	31672
3_2_1345_2072.m4a	3	7678
3_2_1345_2073.m4a	1	10750
3_2_1345_2075.m4a	0	35656
3_2_1346_1510.m4a	0	30901
3_2_1346_2072.m4a	1	7678
3_2_1346_2073.m4a	11	13822
3_2_1346_2075.m4a	0	36809
3_2_1347_1510.m4a	0	31355
3_2_1347_2072.m4a	3	8446
3_2_1347_2073.m4a	1	10750
3_2_1347_2075.m4a	0	37136
3_2_1348_1510.m4a	0	32157
3_2_1348_2072.m4a	2	8446
3_2_1348_2073.m4a	3	12286
3_2_1348_2075.m4a	1	35638
3_2_1349_1510.m4a	0	31523
3_2_1349_2072.m4a	1	7678
3_2_1349_2073.m4a	3	10750
3_2_1349_2075.m4a	1	35657
3_2_1350_1510.m4a	2	32234
3_2_1350_2072.m4a	2	9214
3_2_1350_2073.m4a	1	12286
3_2_1350_2075.m4a	0	32488
3_2_1485_1510.m4a	0	35286
3_2_1485_2072.m4a	3	10750
3_2_1485_2073.m4a	3	13822
3_2_1485_2075.m4a	0	36074
3_2_1486_1510.m4a	0	33919
3_2_1486_2072.m4a	2	9982
3_2_1486_2073.m4a	1	13054
3_2_1486_2075.m4a	0	37476
3_2_1734_1510.m4a	1	31827
3_2_1734_2072.m4a	2	6910
3_2_1734_2073.m4a	1	10750
3_2_1734_2075.m4a	0	34706
3_2_1770_1510.m4a	0	31737
3_2_1770_2072.m4a	1	9214
3_2_1770_2073.m4a	5	13054
3_2_1770_2075.m4a	0	36097
3_2_1771_1510.m4a	0	30703
3_2_1771_2072.m4a	2	8446
3_2_1771_2073.m4a	5	13822
3_2_1771_2075.m4a	0	33270
3_2_1793_1510.m4a	0	31260
3_2_1793_2072.m4a	0	8446
3_2_1793_2073.m4a	1	9982
3_2_1793_2075.m4a	1	38296
3_2_1827_1510.m4a	0	31834
3_2_1827_2072.m4a	0	8446
3_2_1827_2073.m4a	1	8446
3_2_1827_2075.m4a	2	33714
3_2_1844_1510.m4a	0	31043
3_2_1844_2072.m4a	1	8446
3_2_1844_2073.m4a	1	10750
3_2_1844_2075.m4a	0	34790
3_2_1878_1510.m4a	0	31086
3_2_1878_2072.m4a	0	8446
3_2_1878_2073.m4a	1	9214
3_2_1878_2075.m4a	1	36614
3_2_1938_1510.m4a	0	31332
3_2_1938_2072.m4a	2	6910
3_2_1938_2073.m4a	9	12286
3_2_1938_2075.m4a	1	34251
3_2_1983_1510.m4a	1	30623
3_2_1983_2072.m4a	2	7678
3_2_1983_2073.m4a	1	8446
3_2_1983_2075.m4a	0	34484
3_2_2009_1510.m4a	0	31040
3_2_2009_2072.m4a	2	7678
3_2_2009_2073.m4a	1	9982
3_2_2009_2075.m4a	0	35880
3_2_2053_1510.m4a	2	29970
3_2_2053_2072.m4a	4	7678
3_2_2053_2073.m4a	1	9982
3_2_2053_2075.m4a	0	35589
3_2_2056_1510.m4a	0	30770
3_2_2056_2072.m4a	1	8446
3_2_2056_2073.m4a	3	9982
3_2_2056_2075.m4a	3	37333
3_2_2057_1510.m4a	0	30049
3_2_2057_2072.m4a	1	8446
3_2_2057_2073.m4a	15	9214
3_2_2057_2075.m4a	3	35541
3_2_2062_1510.m4a	1	31127
3_2_2062_2072.m4a	2	7678
3_2_2062_2073.m4a	1	10750
3_2_2062_2075.m4a	2	36472
3_2_2063_1510.m4a	0	30655
3_2_2063_2072.m4a	1	9982
3_2_2063_2073.m4a	1	10750
3_2_2063_2075.m4a	2	36956
3_2_2102_1510.m4a	0	31288
3_2_2102_2072.m4a	2	9214
3_2_2102_2073.m4a	1	9214
3_2_2102_2075.m4a	0	35873
3_2_2108_1510.m4a	0	31135
3_2_2108_2072.m4a	2	6910
3_2_2108_2073.m4a	1	10750
3_2_2108_2075.m4a	0	36740
3_2_2126_1510.m4a	0	31184
3_2_2126_2072.m4a	1	9214
3_2_2126_2073.m4a	1	11518
3_2_2126_2075.m4a	0	35354
3_2_2141_1510.m4a	0	31150
3_2_2141_2072.m4a	1	13054
3_2_2141_2073.m4a	1	9982
3_2_2141_2075.m4a	0	34843
3_2_2161_1510.m4a	0	31776
3_2_2161_2072.m4a	1	9982
3_2_2161_2073.m4a	1	9982
3_2_2161_2075.m4a	0	35122
3_2_2173_1510.m4a	1	31696
3_2_2173_2072.m4a	1	9982
3_2_2173_2073.m4a	1	9214
3_2_2173_2075.m4a	0	35511
3_2_2531_1510.m4a	0	30770
3_2_2531_2072.m4a	1	8446
3_2_2531_2073.m4a	3	6910
3_2_2531_2075.m4a	1	34067
3_2_2540_1510.m4a	0	32000
3_2_2540_2072.m4a	0	7678
3_2_2540_2073.m4a	1	9214
3_2_2540_2075.m4a	2	36337
3_2_2645_1510.m4a	0	30364
3_2_2645_2072.m4a	1	8446
3_2_2645_2073.m4a	1	9982
3_2_2645_2075.m4a	1	35150
3_2_2906_1510.m4a	0	36610
3_2_2906_2072.m4a	1	11518
3_2_2906_2073.m4a	3	17662
3_2_2907_1510.m4a	0	34328
3_2_2907_2072.m4a	2	11518
3_2_2907_2073.m4a	1	16126
3_2_2908_1510.m4a	0	32491
3_2_2908_2072.m4a	0	7678
3_2_2908_2073.m4a	1	11518
3_2_2909_1510.m4a	0	32538
3_2_2909_2072.m4a	2	8446
3_2_2909_2073.m4a	1	10750
3_2_2910_1510.m4a	0	33493
3_2_2910_2072.m4a	1	11518
3_2_2910_2073.m4a	1	12286
3_2_2911_1510.m4a	0	34377
3_2_2911_2072.m4a	1	10750
3_2_2911_2073.m4a	1	10750
3_2_2912_1510.m4a	0	32358
3_2_2912_2072.m4a	1	10750
3_2_2912_2073.m4a	1	10750
3_2_2913_1510.m4a	2	32324
3_2_2913_2072.m4a	2	7678
3_2_2913_2073.m4a	1	11518
3_2_2914_1510.m4a	0	32162
3_2_2914_2072.m4a	3	9214
3_2_2914_2073.m4a	1	12286
3_2_2915_1510.m4a	0	32820
3_2_2915_2072.m4a	0	9214
3_2_2915_2073.m4a	1	11518
3_2_2916_1510.m4a	0	37535
3_2_2916_2072.m4a	1	10750
3_2_2916_2073.m4a	1	13054
3_2_2917_1510.m4a	0	38468
3_2_2917_2072.m4a	1	9214
3_2_2917_2073.m4a	13	11518
3_2_2918_1510.m4a	0	32037
3_2_2918_2072.m4a	1	9214
3_2_2918_2073.m4a	1	12286
3_2_2919_1510.m4a	0	32377
3_2_2919_2072.m4a	3	8446
3_2_2919_2073.m4a	1	9982
3_2_2920_1510.m4a	0	33007
3_2_2920_2072.m4a	2	9214
3_2_2920_2073.m4a	3	12286
3_2_2921_1510.m4a	0	33814
3_2_2921_2072.m4a	1	12286
3_2_2921_2073.m4a	1	11518
3_2_2922_1510.m4a	0	39758
3_2_2922_2072.m4a	0	13054
3_2_2922_2073.m4a	1	14590
3_2_2923_1510.m4a	0	34605
3_2_2923_2072.m4a	1	10750
3_2_2923_2073.m4a	1	13054
